fraction reduction to crust size     frequency    Rcc    max mu   mu_cc
0.0  135.253  10.946  5.695270e+29  1.530811e+29
0.05  125.663  10.995  4.040606e+29  2.118274e+29
0.1  129.916  11.043  4.040606e+29  2.953260e+29
0.15  134.186  11.092  4.023126e+29  4.032663e+29
0.2  141.592  11.140  3.299437e+29  3.310262e+29
0.3  155.353  11.237  1.809572e+29  1.813413e+29
0.4  184.662  11.334  7.979892e+28  8.006988e+28
0.5  240.551  11.431  2.963432e+28  2.976212e+28
0.6  109.144  11.528  1.042960e+28  1.069804e+28
0.7  61.8457  11.625  2.237662e+27  2.246720e+27
